"","shotID","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedXCordABS","arenaAdjustedYCord","arenaAdjustedYCordAbs","averageRestDifference","awayEmptyNet","awayPenalty1Length","awayPenalty1TimeLeft","awaySkatersOnIce","awayTeamCode","awayTeamGoals","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamDefencemenOnIce","defendingTeamForwardsOnIce","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","distanceFromLastEvent","event","game_id","goal","goalieIdForShot","goalieNameForShot","homeEmptyNet","homePenalty1Length","homePenalty1TimeLeft","homeSkatersOnIce","homeTeamCode","homeTeamGoals","homeTeamWon","id","isHomeTeam","isPlayoffGame","lastEventCategory","lastEventShotAngle","lastEventShotDistance","lastEventTeam","lastEventxCord","lastEventxCord_adjusted","lastEventyCord","lastEventyCord_adjusted","location","offWing","period","playerNumThatDidEvent","playerNumThatDidLastEvent","playerPositionThatDidEvent","season","shooterLeftRight","shooterName","shooterPlayerId","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamDefencemenOnIce","shootingTeamForwardsOnIce","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAnglePlusReboundSpeed","shotAngleReboundRoyalRoad","shotDistance","shotGeneratedRebound","shotGoalieFroze","shotOnEmptyNet","shotPlayContinuedInZone","shotPlayContinuedOutsideZone","shotPlayStopped","shotRebound","shotRush","shotType","shotWasOnGoal","speedFromLastEvent","team","teamCode","time","timeDifferenceSinceChange","timeSinceFaceoff","timeSinceLastEvent","timeUntilNextEvent","xCord","xCordAdjusted","xFroze","xGoal","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xRebound","xShotWasOnGoal","yCord","yCordAdjusted"
"1",240,61,-36,36,-31,31,0,0,0,0,5,"VAN",0,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,47.5078940809,"MISS",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,6,0,0,"FAC",0,0,"AWAY",0,0,0,0,"HOMEZONE",0,1,23,0,"D",2020,"L","Alexander Edler",8471303,26,26,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,30.3236068625,30.3236068625,0,0,0,61.400325732,0,0,0,0,1,0,0,0,"WRIST",0,1.82722669542,"AWAY","VAN",26,0,26,26,15,-36,36,0.200871,0.00754015,0.41871,0.317992,0.0188157,0.036071,0.665493,-31,31
"2",241,56,-41,41,29,29,-2.8,0,0,0,5,"VAN",0,23.8,24,19,23.6666666667,19,19,2,3,28,24,19,28,19,19,19,24,19,19,19,19,109.293183685,"SHOT",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,9,0,0,"FAC",0,0,"AWAY",69,-69,22,-22,"HOMEZONE",0,1,27,0,"D",2020,"R","Travis Hamonic",8474612,12,12,22.8,12,12,30,19,16.2,2,3,30,12,12,30,19,19,12,12,12,30,19,12,-31.4768393496,31.4768393496,0,0,0,57.4543296889,0,0,0,0,1,0,0,0,"WRIST",1,5.75227282553,"AWAY","VAN",60,-7,19,19,27,-40,40,0.209197,0.00646246,0.423523,0.308536,0.0203792,0.0319026,0.681649,30,-30
"3",242,56,42,42,30,30,-7.6,0,0,0,5,"VAN",0,27,39,39,19,19,27,2,3,39,39,39,23,23,39,17,39,39,17,17,17,81,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,10,1,0,"SHOT",0,0,"AWAY",-40,-40,30,30,"AWAYZONE",0,1,20,27,"D",2020,"L","Slater Koekkoek",8476886,15,15,19.4,15,15,22.3333333333,22.3333333333,19.4,2,3,46,15,15,46,46,46,6,15,15,6,6,6,32.0053832081,32.0053832081,0,0,0,56.6038867923,0,1,0,0,0,0,0,0,"WRIST",1,3,"HOME","EDM",87,-11,46,27,1,41,41,0.21966,0.00798728,0.423598,0.294173,0.0238273,0.0307545,0.696126,30,30
"4",243,32,-77,77,-30,30,2,0,0,0,5,"VAN",0,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,10,10,10,10,10,34.9857113691,"SHOT",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,21,0,0,"GIVE",0,0,"HOME",-95,95,-1,1,"HOMEZONE",0,1,64,0,"C",2020,"L","Tyler Motte",8477353,12,12,12,12,12,12,12,12,2,3,12,12,12,12,12,12,12,12,12,12,12,12,68.8387401832,68.8387401832,0,0,0,33.2415402772,0,0,0,0,1,0,0,0,"WRIST",1,17.4928556845,"AWAY","VAN",222,2,105,2,22,-77,77,0.206549,0.0459075,0.402035,0.274864,0.0227279,0.0479166,0.771281,-31,31
"5",244,13,80,80,-10,10,-2,0,0,0,5,"VAN",0,34,34,34,34,34,34,2,3,34,34,34,34,34,34,34,34,34,34,34,34,160.654909667,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,22,1,0,"SHOT",0,0,"AWAY",-77,-77,-31,-31,"AWAYZONE",1,1,21,64,"C",2020,"L","Dominik Kahun",8480946,32,32,32,32,32,32,32,32,2,3,32,32,32,32,32,32,32,32,32,32,32,32,-48.8140748343,48.8140748343,0,0,0,10.6301458127,0,0,0,0,1,0,0,0,"BACK",1,7.30249589394,"HOME","EDM",244,-2,127,22,30,82,82,0.120941,0.0446834,0.450347,0.310186,0.0210727,0.0527707,0.75551,-8,-8
"6",245,7.81024967591,84,84,-6,6,11.2,0,0,0,5,"VAN",0,38.6,20,20,51,51,38.6,2,3,59,20,20,59,59,59,20,20,20,47,47,20,17.691806013,"SHOT",20004,0,8474651,"Braden Holtby",0,0,0,5,"EDM",0,0,28,1,0,"HIT",0,0,"AWAY",97,97,-18,-18,"AWAYZONE",1,1,93,0,"C",2020,"L","Ryan Nugent-Hopkins",8476454,45,45,49.8,53.5,53.5,47.3333333333,47.3333333333,49.8,2,3,59,59,59,52,52,59,45,48,48,45,45,45,-50.1944289077,50.1944289077,0,0,0,7.81024967591,0,0,0,0,1,0,0,0,"WRIST",1,0.333807660622,"HOME","EDM",380,25,104,53,17,84,84,0.130487,0.117894,0.336204,0.272557,0.0145261,0.128332,0.90095,-6,-6
"7",246,26,-63,63,-5,5,9.4,0,0,0,5,"VAN",0,13,13,13,13,13,13,2,3,13,13,13,13,13,13,13,13,13,13,13,13,34.1320963318,"SHOT",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,30,0,0,"HIT",0,0,"HOME",-91,91,-23,23,"HOMEZONE",1,1,20,0,"C",2020,"R","Brandon Sutter",8474091,32,32,22.4,8,8,32,32,22.4,2,3,32,12,12,32,32,32,4,4,4,32,32,4,10.4914770123,10.4914770123,0,0,0,27.4590604355,0,0,0,0,0,1,0,0,"WRIST",1,2.00777037246,"AWAY","VAN",414,-9,138,17,1,-62,62,0.126986,0.074931,0.40218,0.321579,0.017591,0.0567334,0.692782,-5,5
"8",247,14,-75,75,3,3,0,0,0,0,5,"VAN",0,39,39,25,39,25,25,2,3,39,39,25,39,25,25,39,39,25,39,25,25,148.124947257,"MISS",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,41,0,0,"FAC",0,0,"HOME",69,-69,-22,22,"HOMEZONE",1,1,53,0,"C",2020,"L","Bo Horvat",8477500,55,25,43,25,25,55,25,25,2,3,55,25,25,55,25,25,25,25,25,55,25,25,-14.0362434679,14.0362434679,0,0,0,12.3693168769,0,0,0,1,0,0,0,0,"TIP",0,5.92499789029,"AWAY","VAN",483,0,25,25,8,-77,77,0.1014,0.0977959,0.417275,0.311201,0.0246044,0.047724,0.562633,3,-3
"9",248,28,-63,63,-11,11,0,0,0,0,5,"VAN",0,47,47,33,47,33,33,2,3,47,47,33,47,33,33,47,47,33,47,33,33,20.5182845287,"SHOT",20004,0,8475156,"Mikko Koskinen",0,0,0,5,"EDM",0,0,42,0,0,"MISS",-14.0362434679,12.3693168769,"AWAY",-77,77,3,-3,"HOMEZONE",0,1,53,53,"C",2020,"L","Bo Horvat",8477500,63,33,51,33,33,63,33,33,2,3,63,33,33,63,33,33,33,33,33,63,33,33,22.1663458221,22.1663458221,36.20258929,4.52532366125,1,29.1547594742,0,0,0,0,1,0,0,0,"SNAP",1,2.56478556609,"AWAY","VAN",491,0,33,8,46,-62,62,0.111455,0.0649112,0.434763,0.326438,0.0203458,0.0420879,0.697073,-11,11
"10",249,48,-46,46,20,20,0,0,0,0,5,"VAN",0,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,49.7393204618,"MISS",20004,0,8475156,"Mikko Koskinen",0,120,111,4,"EDM",0,0,51,0,0,"FAC",0,0,"AWAY",-69,69,-22,22,"HOMEZONE",0,1,6,0,"R",2020,"R","Brock Boeser",8478444,9,9,11.8,9,9,12.5,9,9,1,4,23,9,9,23,9,9,9,9,9,9,9,9,-25.0168934781,25.0168934781,0,0,0,49.6588360717,0,0,0,1,0,0,0,0,"WRIST",0,5.52659116242,"AWAY","VAN",648,0,9,9,7,-44,44,0.161462,0.00436906,0.519408,0.2472,0.020573,0.0469883,0.669874,21,-21
