playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471707,2009,James Neal,DAL,R,other,77,3599,74,33.57,0.62,0.59,0.7,0.52,0.71,0.52,238,13.58,3.13,0.99,2.42,0.49,7.25,4.72,2.6,3.13,2.6,1,0,12,7,5,24,3,2,2,1,4,0,6,5,10,17,1,2,3,4,4,1,7,6,6,0.3,0.65,2.18,0,1,1,24,19,19,0,0.29,0.72,0.49,2.92,2.92,2.42,74,30,7,8,29,13,10,14,37,3,6,5852,2,6,3,0,61.46,11.01,9.79,11.01,9.79,56,31,25,112,8,4,2,44,28,15,1.68,3.75,5.59,0,5,3,112,87,87,1.34,1.22,1.22,11.14,11.14,10.11,24.31,6.8,6.15,6.8,6.15,23,12,13,48,7,4,1,18,6,11,0.73,0.69,5.38,1,0,6,48,35,35,0.37,1.91,1.91,5.26,5.26,5.17,13.68,9.37,153,142,0,0,0,0,0,0
8471707,2009,James Neal,DAL,R,all,77,84185,1813,50.74,0.55,0.47,0.53,0.47,0.53,0.47,340,197.48,22.42,15.31,40.77,6.52,106.81,80.16,21.37,22.36,21.3,18,10,198,74,71,343,55,27,7,4,38,4,88,108,171,245,25,64,19,173,57,26,168,82,22,6.14,9.67,6.61,9,10,8,342.23,272,271.61,11,3.5,2.02,3.76,22.16,22.1,21.21,1813,333,139,284,1057,292,269,299,953,19,40,198893,64,75,36,31,773.87,76.83,73.47,76.79,73.42,770,315,335,1420,85,53,12,785,227,73,23.44,27.38,26.01,26,33,26,1415.56,1085,1083.29,12.89,10.78,10.83,78.89,78.82,76.18,703.73,62.33,60.18,62.83,60.67,717,260,284,1261,73,50,10,749,171,57,23.67,19.58,19.08,23,32,18,1270.99,977,984.95,9.8,11.73,12.37,59.77,60.26,59.45,136.81,151.6,2887,3259,0,0,0,0,0,0
8471707,2009,James Neal,DAL,R,5on5,77,64419,1385,50.74,0.49,0.49,0.48,0.48,0.48,0.48,329,143.35,14.99,10.17,30.41,4.55,75.13,60.75,14.62,14.92,14.54,9,10,146,50,50,246,41,22,3,3,24,4,64,79,124,174,18,50,7,162,46,23,130,53,13,5.09,6.47,3.43,8,9,5,245.23,196,195.61,11,2.11,0.36,2.98,14.12,14.06,13.85,1385,189,120,250,826,232,211,216,726,7,15,156367,50,59,28,29,517.16,42.38,41.3,42.33,41.24,520,204,215,939,51,34,8,555,137,32,17.37,16.21,8.8,22,19,10,934.56,724,722.29,7.04,6.73,6.7,42.71,42.64,42.04,577.74,44.27,43.19,44.77,43.68,588,212,236,1036,55,36,5,633,134,33,20.01,15.14,9.12,22,26,7,1045.99,800,807.95,7.67,7.7,8.34,43.6,44.1,43.65,89.79,94.77,2201,2382,0.94,2.14,35,48,27,41
8471707,2009,James Neal,DAL,R,4on5,77,4212,133,41.45,0.12,0.07,0.1,0.08,0.09,0.1,300,2.91,0.32,0.16,0.38,0.09,0.9,2.16,0.32,0.32,0.32,1,0,2,2,2,6,2,1,0,0,1,0,0,2,1,3,0,0,3,4,7,1,2,2,0,0.08,0.24,0,1,0,0,6,4,4,0,0.04,0,0,0.35,0.35,0.35,133,4,8,8,113,10,27,25,71,3,4,16944,0,4,2,0,6.06,0.98,0.98,0.98,0.98,6,2,5,13,3,0,0,3,4,1,0.1,0.55,0.33,1,1,1,13,8,8,0.08,0,0,1.06,1.06,1.06,60.45,7.08,6.73,7.08,6.73,64,21,27,112,7,5,2,60,15,10,1.51,1.67,3.9,0,2,5,112,85,85,1.27,1.46,1.46,6.89,6.89,6.63,2.24,29.32,47,508,0.01,0.02,1,1,1,1
8471707,2009,James Neal,DAL,R,5on4,77,11955,221,50.13,0.86,0.89,0.86,0.87,0.84,0.86,345,36.12,3.83,3.93,7.24,1.34,22.89,11.78,3.67,3.83,3.67,7,0,36,15,12,63,9,2,2,0,9,0,18,20,34,49,6,12,6,3,0,1,28,20,3,0.62,2.21,1,0,0,2,63,51,51,0,1.04,0.94,0.29,4.58,4.58,4.41,221,110,4,18,89,37,21,44,119,6,13,15498,12,4,2,2,185.59,22.24,21.18,22.24,21.18,185,76,88,349,23,15,2,179,57,25,4.18,6.77,11.29,3,8,12,349,261,261,4.38,2.83,2.91,23.7,23.7,22.7,35.36,3.59,3.53,3.59,3.53,35,14,8,57,3,4,1,33,13,3,1.18,1.73,0.68,0,3,0,57,49,49,0.42,0.55,0.55,3.46,3.46,3.44,25.97,3.2,427,62,0.24,0.1,2,3,2,3
8471385,2009,Adam Pardy,CGY,D,other,57,615,15,7.35,0.4,0.62,0.47,0.47,0.38,0.52,88,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,1,10,0,1,3,11,0,0,2812,0,0,0,0,7.13,0.9,0.9,0.9,0.9,8,2,4,14,2,0,0,7,2,1,0.23,0.3,0.37,1,1,0,14,10,10,0.09,0,0,0.99,0.99,0.99,11.39,1.36,1.34,1.36,1.34,12,4,0,16,3,0,0,9,6,1,0.36,0.76,0.24,0,2,1,16,16,16,0.24,0,0,1.6,1.6,1.57,9.52,5.77,75,85,0.34,0,3,0,2,0
8471385,2009,Adam Pardy,CGY,D,all,57,54212,1259,17.1,0.53,0.49,0.52,0.52,0.53,0.5,297,41.13,1.02,2.38,11.47,1.27,26.39,18.47,0.99,1.01,0.98,4,3,40,21,38,99,9,2,1,0,7,2,26,23,38,59,22,48,0,54,16,28,61,0,0,1.02,0,0,2,0,0,98.54,61,60.48,20,0.48,0.14,0,1.49,1.48,1.44,1259,92,104,189,874,170,173,136,780,0,0,153787,48,36,15,60,446.06,31.89,30.86,32.2,31.17,445,187,224,856,27,15,1,517,98,17,14.53,11.71,5.65,14,9,4,862.07,632,636.04,5.7,3.03,3.21,33.73,33.92,33.02,389.8,28.72,28.1,28.55,27.94,398,163,217,778,37,25,8,444,100,17,12.45,11.84,4.43,14,17,6,772.85,561,558.98,5.55,3.34,4.05,29.62,29.49,29.1,107.44,113.77,2414,2266,0,0,0,0,0,0
8471385,2009,Adam Pardy,CGY,D,5on5,57,48924,1095,17.1,0.55,0.49,0.55,0.52,0.56,0.5,247,38.35,0.92,2.17,10.58,1.18,24.53,17.61,0.91,0.91,0.9,4,1,36,21,37,94,7,2,1,0,6,1,25,22,34,55,21,48,0,51,14,26,57,0,0,0.92,0,0,2,0,0,93.54,57,56.48,19,0.43,0.14,0,1.35,1.33,1.31,1095,78,87,181,749,156,149,120,670,0,0,113934,48,34,14,50,416.61,28.79,28.28,29.1,28.59,414,177,210,801,25,15,1,485,92,14,13.65,10.91,4.23,13,8,4,807.07,591,595.05,5.25,3.03,3.21,30.18,30.37,30.02,331.73,23.53,23.02,23.36,22.85,332,140,193,665,29,24,8,376,85,11,10.67,10.19,2.67,13,13,3,659.85,472,469.98,4.33,3.11,3.82,23.72,23.59,23.28,63.68,66.19,1705,1590,4.12,0.6,106,13,88,12
8471385,2009,Adam Pardy,CGY,D,4on5,57,3723,112,12.4,0.19,0.07,0.16,0.13,0.16,0.14,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,112,0,10,7,95,6,19,11,76,0,0,13744,0,0,0,0,8.8,0.76,0.76,0.76,0.76,11,1,4,16,0,0,0,8,4,0,0.27,0.49,0,0,0,0,16,12,12,0.11,0,0,0.87,0.87,0.87,41.75,3.29,3.26,3.29,3.26,46,19,21,86,5,0,0,53,8,4,1.21,0.79,1.29,1,2,2,86,65,65,0.89,0,0.01,3.98,3.98,3.95,2.14,28.15,58,404,0.14,0,2,1,2,0
8471385,2009,Adam Pardy,CGY,D,5on4,57,950,37,5.25,0.95,0.97,0.81,0.92,0.81,0.92,119,2.78,0.1,0.2,0.89,0.09,1.86,0.86,0.08,0.1,0.08,0,0,4,0,1,5,0,0,0,0,1,1,1,1,4,4,0,0,0,0,0,0,4,0,0,0.1,0,0,0,0,0,5,4,4,0,0.05,0,0,0.14,0.14,0.13,37,14,3,0,20,8,4,2,23,0,0,8721,0,0,0,4,11.9,1.4,0.88,1.4,0.88,10,7,5,22,0,0,0,15,0,2,0.35,0,1.05,0,0,0,22,17,17,0.24,0,0,1.64,1.64,1.09,2.67,0.07,0.07,0.07,0.07,4,0,1,5,0,0,0,4,0,0,0.07,0,0,0,0,0,5,4,4,0.01,0,0,0.08,0.08,0.08,13.44,0.42,244,21,0,0,0,0,0,0
