"","shotID","arenaAdjustedShotDistance","arenaAdjustedXCord","arenaAdjustedXCordABS","arenaAdjustedYCord","arenaAdjustedYCordAbs","averageRestDifference","awayEmptyNet","awayPenalty1Length","awayPenalty1TimeLeft","awaySkatersOnIce","awayTeamCode","awayTeamGoals","defendingTeamAverageTimeOnIce","defendingTeamAverageTimeOnIceOfDefencemen","defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","defendingTeamAverageTimeOnIceOfForwards","defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff","defendingTeamAverageTimeOnIceSinceFaceoff","defendingTeamDefencemenOnIce","defendingTeamForwardsOnIce","defendingTeamMaxTimeOnIce","defendingTeamMaxTimeOnIceOfDefencemen","defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMaxTimeOnIceOfForwards","defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff","defendingTeamMaxTimeOnIceSinceFaceoff","defendingTeamMinTimeOnIce","defendingTeamMinTimeOnIceOfDefencemen","defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff","defendingTeamMinTimeOnIceOfForwards","defendingTeamMinTimeOnIceOfForwardsSinceFaceoff","defendingTeamMinTimeOnIceSinceFaceoff","distanceFromLastEvent","event","game_id","goal","goalieIdForShot","goalieNameForShot","homeEmptyNet","homePenalty1Length","homePenalty1TimeLeft","homeSkatersOnIce","homeTeamCode","homeTeamGoals","homeTeamWon","id","isHomeTeam","isPlayoffGame","lastEventCategory","lastEventShotAngle","lastEventShotDistance","lastEventTeam","lastEventxCord","lastEventxCord_adjusted","lastEventyCord","lastEventyCord_adjusted","location","offWing","period","playerNumThatDidEvent","playerNumThatDidLastEvent","playerPositionThatDidEvent","season","shooterLeftRight","shooterName","shooterPlayerId","shooterTimeOnIce","shooterTimeOnIceSinceFaceoff","shootingTeamAverageTimeOnIce","shootingTeamAverageTimeOnIceOfDefencemen","shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff","shootingTeamAverageTimeOnIceOfForwards","shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff","shootingTeamAverageTimeOnIceSinceFaceoff","shootingTeamDefencemenOnIce","shootingTeamForwardsOnIce","shootingTeamMaxTimeOnIce","shootingTeamMaxTimeOnIceOfDefencemen","shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMaxTimeOnIceOfForwards","shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff","shootingTeamMaxTimeOnIceSinceFaceoff","shootingTeamMinTimeOnIce","shootingTeamMinTimeOnIceOfDefencemen","shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff","shootingTeamMinTimeOnIceOfForwards","shootingTeamMinTimeOnIceOfForwardsSinceFaceoff","shootingTeamMinTimeOnIceSinceFaceoff","shotAngle","shotAngleAdjusted","shotAnglePlusRebound","shotAnglePlusReboundSpeed","shotAngleReboundRoyalRoad","shotDistance","shotGeneratedRebound","shotGoalieFroze","shotOnEmptyNet","shotPlayContinuedInZone","shotPlayContinuedOutsideZone","shotPlayStopped","shotRebound","shotRush","shotType","shotWasOnGoal","speedFromLastEvent","team","teamCode","time","timeDifferenceSinceChange","timeSinceFaceoff","timeSinceLastEvent","timeUntilNextEvent","xCord","xCordAdjusted","xFroze","xGoal","xPlayContinuedInZone","xPlayContinuedOutsideZone","xPlayStopped","xRebound","xShotWasOnGoal","yCord","yCordAdjusted"
"1",178,33,-71,71,27,27,11.4,0,0,0,5,"VAN",0,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,10,10,10,10,10,118.207444774,"SHOT",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",0,1,8,0,0,"HIT",0,0,"HOME",30,-30,-34,34,"HOMEZONE",0,1,20,0,"C",2019,"R","Brandon Sutter",8474091,16,16,21.4,25,25,19,19,21.4,2,3,25,25,25,25,25,25,16,25,25,16,16,16,-56.309932474,56.309932474,0,0,0,28.8444102037,0,0,0,1,0,0,0,0,"WRIST",1,9.85062039783,"AWAY","VAN",48,6,48,12,15,-73,73,0.214692,0.0186512,0.400796,0.312247,0.0208456,0.0327681,0.773127,24,-24
"2",179,55,51,51,-39,39,-4.8,0,0,0,5,"VAN",0,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,133.794618726,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"EDM",0,1,11,1,0,"BLOCK",0,0,"AWAY",-74,-74,7,7,"AWAYZONE",0,1,15,0,"R",2019,"R","Josh Archibald",8476326,21,21,21.2,21.5,21.5,21,21,21.2,2,3,30,30,30,21,21,30,13,13,13,21,21,13,-45.7638984609,45.7638984609,45.7638984609,1.20431311739,0,53.0377224247,0,1,0,0,0,0,0,0,"WRIST",1,3.5209110191,"HOME","EDM",105,-13,105,38,1,52,52,0.217944,0.00609644,0.424276,0.301107,0.0249419,0.0256353,0.7304,-38,-38
"3",180,64,-36,36,-36,36,0,0,0,0,5,"VAN",0,25,25,5,25,5,5,2,3,25,25,5,25,5,5,25,25,5,25,5,5,33.6154726279,"MISS",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",0,1,16,0,0,"FAC",0,0,"AWAY",-69,69,-22,22,"HOMEZONE",0,1,23,0,"D",2019,"L","Alexander Edler",8471303,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,34.4608162714,34.4608162714,0,0,0,61.8546683768,0,0,0,1,0,0,0,0,"SLAP",0,6.72309452559,"AWAY","VAN",131,0,5,5,9,-38,38,0.13227,0.0103739,0.447754,0.353681,0.0232508,0.03267,0.540563,-35,35
"4",181,53,-49,49,35,35,0,0,0,0,5,"VAN",0,34,34,14,34,14,14,2,3,34,34,14,34,14,14,34,34,14,34,14,14,69.2314957227,"MISS",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",0,1,17,0,0,"MISS",34.4608162714,61.8546683768,"AWAY",-38,38,-35,35,"HOMEZONE",0,1,57,23,"D",2019,"R","Tyler Myers",8474574,14,14,14,14,14,14,14,14,2,3,14,14,14,14,14,14,14,14,14,14,14,14,-40.9717363335,40.9717363335,75.4325526049,8.38139473388,1,50.3289181286,0,0,0,0,1,0,0,0,"WRIST",0,7.69238841363,"AWAY","VAN",140,0,14,9,9,-51,51,0.179264,0.00705224,0.464367,0.290051,0.0228556,0.0364099,0.676268,33,-33
"5",182,68,-33,33,-38,38,20,0,0,0,5,"VAN",0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,74.7261667691,"MISS",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",0,1,18,0,0,"MISS",-40.9717363335,50.3289181286,"AWAY",-51,51,33,-33,"HOMEZONE",0,1,23,57,"D",2019,"L","Alexander Edler",8471303,23,23,23,23,23,23,23,23,2,3,23,23,23,23,23,23,23,23,23,23,23,23,33.917430537,33.917430537,74.8891668705,8.32101854117,1,69.89277502,0,0,0,1,0,0,0,0,"WRIST",0,8.30290741879,"AWAY","VAN",149,20,23,9,2,-31,31,0.231753,0.00559637,0.343579,0.371327,0.0301851,0.0175592,0.713824,-39,39
"6",183,39,-74,74,-36,36,0,0,0,0,5,"VAN",0,18,18,13,18,13,13,2,3,18,18,13,18,13,13,18,18,13,18,13,13,154.728794993,"SHOT",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",0,1,21,0,0,"FAC",0,0,"HOME",69,-69,22,-22,"HOMEZONE",0,1,70,0,"L",2019,"L","Tanner Pearson",8476871,13,13,13,13,13,13,13,13,2,3,13,13,13,13,13,13,13,13,13,13,13,13,67.8905516562,67.8905516562,0,0,0,34.5398320783,0,0,0,1,0,0,0,0,"SNAP",1,11.9022149995,"AWAY","VAN",164,0,13,13,11,-76,76,0.193014,0.010602,0.436261,0.303487,0.0227608,0.033875,0.782898,-32,32
"7",184,67,30,30,32,32,0,0,120,97,4,"VAN",0,29.75,36.5,23,23,23,23,2,2,50,50,23,23,23,23,23,23,23,23,23,23,39.2937654088,"SHOT",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"EDM",0,1,25,1,0,"FAC",0,0,"HOME",69,69,22,22,"AWAYZONE",0,1,77,0,"D",2019,"L","Oscar Klefbom",8476472,23,23,29.4,23,23,31,23,23,1,4,55,23,23,55,23,23,23,23,23,23,23,23,28.8865817669,28.8865817669,0,0,0,66.2419806467,0,0,0,0,0,1,0,0,"SLAP",1,1.70842458299,"HOME","EDM",201,0,23,23,0,31,31,0.13834,0.0224312,0.500937,0.271722,0.0224254,0.044144,0.685068,32,32
"8",185,49,48,48,-26,26,-5,0,0,0,5,"VAN",0,26.4,18,18,32,32,26.4,2,3,39,18,18,39,39,39,18,18,18,18,18,18,152.236657872,"MISS",20003,0,8474593,"Jacob Markstrom",0,0,0,5,"EDM",0,1,33,1,0,"GIVE",0,0,"HOME",-99,-99,2,2,"AWAYZONE",0,1,15,0,"R",2019,"R","Josh Archibald",8476326,17,17,21.4,5,5,32.3333333333,32.3333333333,21.4,2,3,40,5,5,40,40,40,5,5,5,17,17,5,-32.2756443146,32.2756443146,0,0,0,44.9444101085,0,0,0,0,0,1,0,0,"SNAP",0,21.7480939817,"HOME","EDM",337,-13,136,7,0,51,51,0.258112,0.0195694,0.380118,0.283108,0.0273685,0.0317238,0.771808,-24,-24
"9",186,13,78,78,-7,7,0,0,0,0,5,"VAN",0,12.2,23,5,5,5,5,2,3,23,23,5,5,5,5,5,23,5,5,5,5,19.4164878389,"GOAL",20003,1,8474593,"Jacob Markstrom",0,0,0,5,"EDM",0,1,36,1,0,"FAC",0,0,"HOME",69,69,-22,-22,"AWAYZONE",1,1,29,0,"C",2019,"L","Leon Draisaitl",8477934,5,5,7,10,5,5,5,5,2,3,10,10,5,5,5,5,5,10,5,5,5,5,-33.690067526,33.690067526,0,0,0,10.8166538264,0,0,0,0,0,0,0,0,"SNAP",1,3.88329756779,"HOME","EDM",342,0,5,5,0,80,80,0.147698,0.111962,0.408829,0.253324,0.0213741,0.0568125,0.827156,-6,-6
"10",187,4.12310562562,-85,85,1,1,-22.4,0,0,0,5,"VAN",0,37,40,30,35,30,30,2,3,40,40,30,35,30,30,35,40,30,35,30,30,58.8982172905,"SHOT",20003,0,8469608,"Mike Smith",0,0,0,5,"EDM",1,1,39,0,0,"HIT",0,0,"HOME",-40,40,-37,37,"HOMEZONE",1,1,70,0,"L",2019,"L","Tanner Pearson",8476871,35,30,8.6,2,2,13,11.3333333333,7.6,2,3,35,2,2,35,30,30,2,2,2,2,2,2,-14.0362434679,14.0362434679,0,0,0,4.12310562562,0,1,0,0,0,0,0,0,"TIP",1,14.7245543226,"AWAY","VAN",372,-28,30,4,0,-85,85,0.158494,0.252,0.332782,0.174394,0.0229229,0.059407,0.879781,1,-1
