playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8462196,2008,Stephane Robidas,DAL,D,other,72,6729,105,31.93,0.51,0.36,0.59,0.46,0.58,0.46,134,22.3,1.91,1.59,4.82,0.81,14.8,8.2,1.8,1.91,1.8,3,1,24,10,16,50,4,0,1,0,3,2,18,10,24,34,3,6,0,9,2,3,28,4,2,0.92,0.46,0.53,0,0,0,50,34,34,0,0.49,0.13,0.07,2.27,2.27,2.14,105,26,25,25,29,7,10,20,68,0,0,5938,6,0,0,3,84.29,13.21,12.22,13.21,12.22,92,38,38,168,11,14,3,82,32,16,3.33,4.02,5.86,4,3,4,168,130,130,1.98,3.6,3.26,11.22,11.22,10.55,62.46,12.64,12.11,12.64,12.11,65,30,23,118,11,10,2,61,16,18,2.14,2.05,8.45,3,0,8,118,95,95,1.24,2.12,2.12,11.44,11.44,11.1,6.79,12.11,106,122,0.14,0,4,0,3,0
8462196,2008,Stephane Robidas,DAL,D,all,72,105958,2026,31.71,0.53,0.45,0.53,0.49,0.53,0.5,114,163.56,9.17,11.35,38.96,5.25,104.62,69.79,8.65,9.14,8.62,12,11,158,83,101,342,26,3,13,0,32,8,112,73,155,238,39,76,1,221,28,44,221,14,6,5.32,1.71,2.14,2,1,0,340.26,241,240.05,31,2.71,3.16,0.25,11.57,11.55,10.97,2026,284,317,409,1016,250,252,370,1154,1,0,157427,76,26,13,109,906.45,90.96,85.99,91.04,86.01,932,356,342,1630,95,77,20,958,243,87,28.82,29.82,32.32,24,35,36,1623.48,1288,1284.46,15.11,18.04,17.75,86.94,86.82,84.2,790.57,79.35,77.02,79.92,77.57,779,347,340,1466,83,52,14,841,203,82,25.35,24.13,29.87,24,24,35,1474.13,1126,1130.82,12.35,11.59,11.93,78.4,78.89,77.25,95.61,116.39,2161,2223,0,0,0,0,0,0
8462196,2008,Stephane Robidas,DAL,D,5on5,72,74053,1480,31.71,0.51,0.47,0.5,0.5,0.51,0.51,160,66.94,2.16,3.7,18.15,2.28,40.78,31.94,2.12,2.13,2.09,6,6,65,34,47,146,14,2,6,0,17,3,38,33,63,97,30,60,1,162,17,33,97,2,0,1.84,0.32,0,2,0,0,144.26,99,98.05,27,0.73,1.46,0.13,2.75,2.72,2.68,1480,137,171,330,842,194,195,252,839,1,0,121250,60,22,11,85,573.86,47.72,45.48,47.8,45.5,586,218,210,1014,59,42,13,619,150,35,18.69,18.83,10.2,19,24,16,1007.48,804,800.46,7.6,9.91,9.84,45.03,44.91,44.08,552.96,45.36,44.29,45.93,44.84,546,234,247,1027,44,33,11,607,133,40,18.8,15.62,10.94,14,17,13,1035.13,780,784.82,7.35,7.31,7.65,44.28,44.77,44.13,66.29,74.66,1678,1647,3.64,0.18,91,10,74,8
8462196,2008,Stephane Robidas,DAL,D,4on5,72,10397,235,30.26,0.07,0.08,0.12,0.13,0.13,0.15,203,4.47,0.27,0.21,0.46,0.12,1.36,3.58,0.27,0.27,0.27,0,1,5,1,1,7,1,0,0,0,1,0,1,4,5,6,2,4,0,36,5,4,5,1,0,0.1,0.17,0,0,0,0,7,6,6,4,0.05,0,0,0.32,0.32,0.32,235,5,116,28,86,14,32,46,143,0,0,15670,4,0,0,2,20.85,1.48,1.46,1.48,1.46,25,5,7,37,1,2,0,24,5,1,0.67,0.57,0.23,0,1,0,37,30,30,0.23,0.27,0.31,1.32,1.32,1.32,144.73,18.46,17.74,18.46,17.74,133,73,63,269,26,9,1,139,46,21,3.42,5.51,9.53,7,6,13,269,206,206,3.42,2.16,2.16,19.59,19.59,18.94,2.24,27.37,57,380,0.15,0,3,0,3,0
8462196,2008,Stephane Robidas,DAL,D,5on4,72,14779,206,31.69,0.92,0.93,0.9,0.88,0.89,0.86,123,68.33,4.79,5.8,15.1,2.01,47.06,25.24,4.43,4.79,4.43,3,3,62,38,37,137,7,1,6,0,11,2,55,25,61,99,4,6,0,14,3,4,89,7,4,2.41,0.76,1.61,0,1,0,137,100,100,0,1.44,1.58,0.05,6.19,6.19,5.77,206,116,5,26,59,35,15,52,104,0,0,13516,6,4,2,19,223,28.2,26.49,28.2,26.49,223,95,87,405,24,18,4,228,56,34,5.99,6.39,15.82,1,7,16,405,318,318,5.25,4.05,4.14,29.18,29.18,28.07,26.11,2.57,2.57,2.57,2.57,31,8,7,46,2,0,0,29,7,3,0.81,0.81,0.96,0,1,1,46,39,39,0.28,0,0,2.72,2.72,2.72,19.15,1.47,294,42,0.13,0,6,0,6,0
8470144,2008,Frans Nielsen,NYI,C,other,59,3350,67,28.63,0.59,0.29,0.65,0.43,0.67,0.38,168,5.79,0.64,0.45,1.37,0.31,3.06,2.23,0.61,0.64,0.61,3,1,5,4,1,10,4,0,1,0,1,0,2,5,5,9,0,0,24,1,2,1,6,2,1,0.18,0.18,0.27,0,0,0,10,9,9,0,0.14,0.27,0.27,0.44,0.44,0.43,67,23,14,9,21,7,5,8,47,24,24,6691,0,4,2,1,36.52,5.17,4.74,5.17,4.74,38,18,14,70,6,4,1,40,9,7,1.27,1.07,2.83,4,2,0,70,56,56,0.96,0.75,1.67,4.19,4.19,4.1,18.19,3.66,3.41,3.66,3.41,21,7,10,38,5,1,1,17,7,4,0.6,0.87,2.19,2,0,3,38,28,28,0.34,0.07,0.07,3.86,3.86,3.6,6.87,16.44,110,145,0.1,0,5,1,4,1
8470144,2008,Frans Nielsen,NYI,C,all,59,58553,1305,32.7,0.58,0.42,0.55,0.43,0.54,0.43,278,102.58,12.58,7.56,21.86,3.55,54.41,42.1,11.79,12.5,11.71,11,13,101,42,44,187,33,9,14,3,21,2,43,54,92,134,9,18,358,29,44,34,102,24,17,3.39,3.05,6.14,3,1,5,186.22,143,142.62,11,1.78,3.12,3.36,10.95,10.89,10.31,1305,243,211,193,658,147,195,203,760,358,400,156350,18,53,25,39,559.35,60.2,56.03,59.85,55.68,576,216,291,1083,56,52,11,594,128,70,17.16,15.85,27.19,16,19,21,1073.92,792,786.24,9.84,10.59,12.89,56.83,56.54,53.52,479.38,43.49,42.18,44.09,42.77,500,181,212,893,46,38,9,528,109,44,14.74,13.64,15.11,20,11,15,908.32,681,691.07,7.31,6.93,6.98,43.69,44.22,43.2,97.84,136.48,2199,2860,0,0,0,0,0,0
8470144,2008,Frans Nielsen,NYI,C,5on5,59,38706,896,32.7,0.48,0.47,0.5,0.45,0.49,0.46,433,63.23,6.09,4.33,14.31,2.01,34.02,27.23,5.9,6,5.82,4,4,66,22,30,118,13,5,5,2,13,2,29,34,61,83,6,12,243,26,29,16,68,13,7,2.47,1.71,1.91,3,0,2,117.22,88,87.62,7,0.89,0.48,1.11,5.88,5.82,5.72,896,112,125,157,502,108,145,128,515,243,282,121761,12,43,20,30,323.13,25.3,24.76,24.95,24.42,337,120,183,640,23,22,5,371,66,20,11.1,7.92,6.28,9,8,6,630.93,457,451.24,4.2,4.13,4.36,25.07,24.79,24.5,342.3,27.01,26.38,27.6,26.96,346,137,153,636,27,27,5,383,75,25,10.89,9.46,6.67,13,11,3,651.32,483,493.06,4.57,5.56,5.61,25.91,26.43,26.11,73.47,84.18,1790,2160,2.31,1.46,42,42,32,29
8470144,2008,Frans Nielsen,NYI,C,4on5,59,6134,178,31.8,0.21,0.13,0.17,0.13,0.19,0.14,233,5.56,0.87,0.4,0.68,0.15,1.54,3.36,0.86,0.87,0.86,1,0,7,0,1,8,2,1,1,0,1,0,0,4,6,6,1,2,31,0,12,4,2,4,1,0.12,0.44,0.31,0,1,0,8,7,7,3,0.09,0.15,0.37,0.59,0.59,0.59,178,3,68,12,95,8,35,29,106,31,44,16345,2,0,0,0,22.2,2.78,2.65,2.78,2.65,28,3,4,35,4,4,1,18,9,4,0.49,1,1.29,1,2,1,35,31,31,0.3,0.56,0.87,2.21,2.21,2.2,92.09,10.5,10.09,10.5,10.09,103,27,46,176,11,7,1,97,21,12,2.54,2.51,5.46,3,0,8,176,130,130,2.11,1,1.01,11.61,11.61,11.19,4.12,27.78,68,456,0.01,0.06,1,3,1,1
8470144,2008,Frans Nielsen,NYI,C,5on4,59,10363,164,31.45,0.93,0.86,0.9,0.84,0.87,0.82,245,27.29,4.96,2.34,5.29,1.05,15.43,8.93,4.38,4.96,4.38,3,7,22,16,11,49,13,3,7,1,6,0,11,11,19,35,1,2,59,2,1,12,25,5,8,0.59,0.72,3.66,0,0,3,49,38,38,1,0.65,2.22,1.61,4,4,3.52,164,105,4,15,40,24,10,38,92,59,42,9899,2,6,3,7,176.07,26.86,23.8,26.86,23.8,171,75,89,335,22,22,4,163,44,39,4.21,5.85,16.8,1,7,14,335,246,246,4.36,5.15,5.99,25.23,25.23,22.6,24.59,2.16,2.14,2.16,2.14,29,8,2,39,3,3,2,29,5,3,0.68,0.68,0.8,2,0,1,39,37,37,0.26,0.3,0.3,2.12,2.12,2.12,11.07,1.76,200,39,0.01,0.07,2,3,1,3
